,Ticker,Name,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
91,OSCB,Al Omaniya Financial,0.10,0.00%,647.00,"6,470",0.10,0.10,0.10,2015-08-18 08:02:03
92,BMCC,Bank Muscat,0.10,0.00%,665.08,"6,395",0.10,0.10,0.10,2017-06-22 07:17:54
93,PHPC,Phoenix Power,0.14,0.00%,"16,753.32","122,287",0.14,0.14,0.14,2018-04-18 08:01:29
94,RBAB,Renaissance,0.14,0.00%,429.14,"3,001",0.14,0.14,0.14,2015-08-18 00:00:00
95,MSUK1,Meethaq,1.00,0.00%,"32,690.00","32,690",1.00,1.00,1.00,2018-04-19 08:35:34
96,VISN,Vision Insurance,0.14,0.00%,"23,194.75","157,700",0.15,0.15,0.14,2018-04-16 06:38:55
97,BKDB,Bank Dhofar,0.19,-0.53%,"1,254.71","6,674",0.19,0.19,0.19,2018-04-19 08:48:53
98,APBS,ACWA,0.74,-0.53%,"13,419.53","18,037",0.74,0.74,0.74,2018-04-17 06:12:40
99,RCCI,Raysut Cement,0.72,-0.55%,"4,246.26","5,865",0.72,0.72,0.72,2018-04-17 06:17:48
100,OUIS,OUIC,0.33,-0.61%,"2,282.00","7,000",0.33,0.33,0.33,2018-04-18 08:51:02
101,NFCI,National Finance,0.13,-0.75%,"14,426.14","108,169",0.13,0.13,0.13,2018-04-19 08:54:46
102,AMCI,Al Maha Ceramics,0.25,-0.79%,500.00,"2,000",0.25,0.25,0.25,2018-04-19 06:14:42
103,TFCI,Taageer Finance,0.11,-0.91%,"1,093.00","10,000",0.11,0.11,0.11,2018-04-19 08:57:44
104,OFBB,Al Omaniya Financial,0.10,-1.00%,43.56,440,0.10,0.10,0.10,2017-03-02 06:38:53
105,MTMI,Muscat Thread Mills,0.08,-1.25%,"3,891.00","49,000",0.08,0.08,0.08,2018-04-19 07:58:23
106,MHAS,Al Maha Marketing,0.82,-1.41%,"25,884.06","30,815",0.84,0.84,0.82,2018-04-16 08:53:08
107,OFCI,Oman Fisheries,0.12,-1.65%,"97,026.70","814,100",0.12,0.12,0.12,2018-04-19 08:59:21
108,AJSS,Al Jazeira Services,0.17,-1.73%,"4,655.60","27,380",0.17,0.17,0.17,2018-04-19 08:29:13
109,AMII,Al Madina Investment,0.05,-1.82%,"10,940.93","204,000",0.06,0.06,0.05,2018-04-19 08:53:14
110,OTEL,Omantel,0.85,-1.83%,"341,278.55","396,668",0.87,0.87,0.85,2018-04-19 08:59:19
111,MFCI,Muscat Finance,0.10,-1.92%,"1,525.00","15,000",0.10,0.10,0.10,2018-04-19 08:58:19
112,BKMU,Bank Muscat,1.00,-1.96%,"5,000.00","5,000",1.00,1.00,1.00,2013-05-29 08:57:55
113,AMAT,Al Madina Takaful,0.10,-2.02%,"52,536.00","540,000",0.10,0.10,0.10,2018-04-19 08:59:13
114,SIHC,Al Sharqiya Investme,0.12,-2.38%,"9,117.65","74,018",0.12,0.12,0.12,2018-04-18 08:31:42
115,SOMS,Shell Oman,1.70,-2.59%,"18,221.25","10,750",1.70,1.70,1.70,2018-04-17 06:09:25
116,ORCI,Oman Refreshment,1.80,-2.70%,"19,688.40","10,938",1.80,1.80,1.80,2018-04-05 07:26:49
117,GISI,GIS,0.11,-2.73%,"337,214.63","3,141,170",0.11,0.11,0.11,2018-04-19 08:59:55
118,VOES,Voltamp,0.40,-2.91%,"12,640.00","31,600",0.40,0.40,0.40,2018-04-16 06:41:28
119,GECS,Galfar Engineering,0.10,-2.97%,"135,958.19","1,381,305",0.10,0.10,0.10,2018-04-19 08:56:23
120,OEIO,Oman & Emirates Inve,0.12,-3.17%,"3,660.00","30,000",0.12,0.12,0.12,2018-04-19 08:59:16
121,OQIC,OQIC,0.13,-3.70%,"1,417.51","10,889",0.13,0.13,0.13,2018-04-19 08:40:04
122,BMCB-Mar14,Bank Muscat,0.10,-4.00%,"305,741.04","3,187,212",0.10,0.10,0.10,2015-06-11 08:25:21
123,CMII,CMI,0.03,-5.88%,"5,498.00","172,000",0.03,0.03,0.03,2018-04-16 08:59:49
124,ABHS,Al Buraimi Hotel,0.97,-8.18%,88.88,110,0.79,0.97,0.79,2007-10-02 00:00:00
125,SHRQ,Sharqiyah Desalinati,3.92,-8.86%,"2,616.61",661,4.00,4.00,3.92,2017-08-28 06:59:39
126,TAOI,Takaful Oman,0.14,-8.86%,830.30,"5,766",0.14,0.14,0.14,2018-04-11 08:56:15
127,OCHL,Oman Chlorine,0.40,-9.09%,"4,000.00","10,000",0.40,0.40,0.40,2018-04-17 07:47:27
128,SMNP,SMN Power,0.60,-9.09%,"15,495.00","25,825",0.60,0.60,0.60,2018-04-17 06:16:27
129,MGMC,Muscat Gases,0.41,-9.61%,414.00,"1,000",0.41,0.41,0.41,2018-04-19 08:07:50
130,SPSI,Salalah Port Service,0.54,-10.00%,"1,620.00","3,000",0.54,0.54,0.54,2018-04-15 00:00:00
131,BMBC,Bank Muscat,0.10,-10.43%,"10,774.21","104,604",0.10,0.10,0.10,2016-03-14 08:53:04
132,AFAI,Al Fajar Al Alamia,0.50,-33.16%,"1,505,714.00","3,011,428",0.50,0.50,0.50,2018-02-07 08:11:06
133,DICS,Dhofar Insurance,0.11,-61.00%,"302,519.44","3,859,999",0.07,0.13,0.07,2018-04-19 08:42:04
