,Ticker,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
81,Aman,0.70,-0.29%,"12,523.00","19,000",0.66,0.70,0.66,2018-04-19 08:53:03
82,NBF,2.97,-0.34%,"248,496.93","83,669",2.97,2.97,2.97,2018-04-02 07:59:04
83,Emirates Investment,400.00,-0.35%,"3,593,600.00","8,984",400.00,400.00,400.00,2018-01-04 07:01:47
84,GGICO,0.27,-0.37%,"45,903.88","172,520",0.26,0.27,0.26,2018-04-19 09:55:00
85,Aldar Properties,2.10,-0.47%,"16,236,760.46","7,713,561",2.11,2.12,2.10,2018-04-19 10:00:00
86,UPP,0.85,-0.47%,"1,107,260.71","1,304,397",0.85,0.85,0.85,2018-04-19 09:55:00
87,ADSB,2.09,-0.48%,"59,916.00","27,470",2.19,2.25,2.00,2018-04-19 08:50:17
88,Drake & Scull,1.70,-0.58%,"1,743,883.37","1,025,793",1.71,1.71,1.70,2018-04-19 09:55:00
89,Damac,2.97,-0.67%,"5,963,813.35","2,010,522",3.00,3.00,2.94,2018-04-19 09:55:00
90,ADNH,2.78,-0.71%,"638,780.00","241,000",2.65,2.78,2.65,2018-04-11 09:49:18
91,Sharjah Islamic Bank,1.24,-0.80%,"889,236.71","713,000",1.26,1.26,1.24,2018-04-19 09:20:53
92,ADNOC Distribution,2.46,-0.81%,"1,165,301.38","473,153",2.47,2.49,2.44,2018-04-19 10:00:00
93,Deyaar,0.46,-0.86%,"1,524,774.23","3,285,137",0.46,0.47,0.46,2018-04-19 09:59:15
94,Gulf Navigation,1.04,-0.95%,"2,447,568.16","2,331,503",1.05,1.05,1.04,2018-04-19 09:55:00
95,FAB,6.20,-0.96%,620.00,100,6.20,6.20,6.20,2017-04-18 06:57:19
96,Aramex,4.05,-0.98%,"4,534,715.02","1,112,058",4.09,4.09,4.04,2018-04-19 09:56:29
97,Umm Al Qaiwain Gener,1.00,-0.99%,"19,424.00","19,424",1.00,1.00,1.00,2018-04-01 09:01:52
98,CBD,3.76,-1.05%,"376,000.00","100,000",3.76,3.76,3.76,2018-04-18 09:41:21
99,Finance House,1.70,-1.16%,"1,087,720.00","635,000",1.72,1.72,1.70,2018-03-15 09:31:38
100,Eshraq,0.72,-1.37%,"2,487,213.01","3,413,938",0.73,0.73,0.72,2018-04-19 10:00:00
101,DXB Entertainments,0.43,-1.81%,"3,558,825.37","8,108,753",0.45,0.45,0.43,2018-04-19 09:57:34
102,ADCB,7.05,-1.81%,"10,793,140.97","1,524,223",7.14,7.14,7.05,2018-04-19 10:00:00
103,Arabtec Holding,2.14,-1.83%,"529,575.04","245,812",2.17,2.17,2.14,2018-04-19 09:55:00
104,DIB,5.44,-1.98%,"59,539,675.01","11,050,057",5.55,5.55,5.30,2018-04-19 09:56:42
105,KHCB,0.78,-2.00%,"235,054.06","296,500",0.80,0.80,0.78,2018-04-19 09:44:33
106,Al Ramz Corporation,1.45,-2.03%,"27,156.25","19,375",1.35,1.45,1.35,2018-04-19 09:55:00
