,Ticker,Name,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
67,SKPC,Sidi Kerir Petrochem,28.65,1.09%,"14,574,894.00","506,057",28.49,29.26,28.29,2018-04-22 12:29:26
68,EGBE,Egyptian Gulf Bank,0.96,1.06%,"304,881.00","18,066",0.94,0.96,0.94,2018-04-22 12:28:54
69,PHDC,Palm Hills,5.16,0.97%,"12,919,970.00","2,484,724",5.15,5.28,5.15,2018-04-22 12:29:52
70,AUTO,GB Auto,6.35,0.94%,"3,047,470.75","472,950",6.38,6.58,6.34,2018-04-22 12:29:53
71,APPC,Advanced Pharmaceuti,2.40,0.87%,"87,331.66","37,407",2.31,2.40,2.30,2017-03-02 12:28:36
72,PIOH,Pioneers Holding,9.31,0.87%,"59,188,336.00","6,402,099",9.17,9.39,9.07,2018-04-22 12:29:47
73,IRON,Egyptian Iron & Stee,7.55,0.79%,"9,200,815.00","1,208,217",7.56,7.76,7.51,2018-04-22 12:29:50
74,OBRI,El Obour Real Estate,8.42,0.79%,"481,029.53","54,016",8.84,9.35,8.42,2018-04-22 12:29:46
75,COSG,Cairo Oils & Soap,11.02,0.73%,"1,483,866.00","134,707",10.94,11.10,10.82,2018-04-22 12:29:57
76,CLHO,Cleopatra Hospital,4.07,0.73%,"3,674,890.50","892,849",4.09,4.17,4.05,2018-04-22 12:29:56
77,ZMID,Zahraa Maadi,22.00,0.67%,"52,127.10","2,307",22.45,22.86,22.00,2018-04-22 12:27:35
78,NCCW,Nasr Co for Civil Wo,24.00,0.67%,"175,057.70","7,334",23.71,24.38,23.66,2018-04-22 12:29:41
79,ADIB,Abu Dhabi Islamic Ba,16.13,0.62%,"2,485,012.25","152,932",16.15,16.59,16.00,2018-04-22 12:29:50
80,EHDR,Egyptians for Housin,3.53,0.57%,"873,857.50","245,936",3.53,3.58,3.52,2018-04-22 12:29:20
81,UNIT,United Co for Housin,5.84,0.51%,"986,082.88","167,818",5.85,5.93,5.84,2018-04-22 12:29:44
82,RAYA,Raya,10.12,0.49%,"3,018,284.25","295,131",10.18,10.32,10.07,2018-04-22 12:29:52
83,SDTI,Sharm Dreams,6.40,0.47%,"777,596.94","121,105",6.39,6.56,6.35,2018-04-22 12:29:30
84,ABRD,Egyptians Abroad for,4.36,0.46%,"680,653.63","155,089",4.37,4.42,4.36,2018-04-22 12:29:35
