,Ticker,Name,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
68,DARTAKAFUL,Dar Al Takaful,0.67,-0.15%,"5,754.40","8,644",0.66,0.67,0.66,2018-04-19 09:55:00
69,DIB,DIB,5.43,-0.18%,"9,785,341.46","1,806,601",5.37,5.44,5.37,2018-04-22 09:59:36
70,RAKNIC,RAK Insurance,3.68,-0.27%,"7,065.60","1,920",3.68,3.68,3.68,2018-02-20 06:09:36
71,AMAN,Aman,0.69,-0.29%,"32,548.01","46,800",0.70,0.70,0.68,2018-04-22 09:55:00
72,DFM,DFM,0.99,-0.30%,"915,633.78","920,913",0.99,0.99,0.99,2018-04-22 09:55:00
73,NBF,NBF,2.97,-0.34%,"248,496.93","83,669",2.97,2.97,2.97,2018-04-02 07:59:04
74,EIBANK,Emirates Investment,400.00,-0.35%,"3,593,600.00","8,984",400.00,400.00,400.00,2018-01-04 07:01:47
75,NBAD,FAB,12.50,-0.40%,"1,584,093.10","127,126",12.50,12.50,12.45,2018-04-22 10:00:00
76,ADCB,ADCB,7.02,-0.43%,"7,696,667.64","1,091,620",7.08,7.08,7.02,2018-04-22 10:00:00
77,DIC,Dubai Investments,2.09,-0.48%,"1,939,664.58","927,079",2.10,2.10,2.08,2018-04-22 09:55:00
78,EMAAR,Emaar,5.60,-0.71%,"17,765,475.46","3,185,954",5.66,5.66,5.55,2018-04-22 09:58:26
79,ADNH,ADNH,2.78,-0.71%,"638,780.00","241,000",2.65,2.78,2.65,2018-04-11 09:49:18
80,EIC,EIC,6.25,-0.79%,"3,007,675.00","481,228",6.25,6.25,6.25,2018-04-22 06:12:41
81,ETISALAT,Etisalat,17.25,-0.86%,"2,708,794.20","156,408",17.30,17.35,17.25,2018-04-22 10:00:00
82,AAN,AAN,0.34,-0.86%,"212,569.77","629,056",0.34,0.35,0.33,2018-04-22 09:44:43
83,UPP,UPP,0.84,-0.95%,"3,830,763.69","4,560,023",0.85,0.85,0.83,2018-04-22 09:56:25
84,ALDAR,Aldar Properties,2.08,-0.95%,"9,088,548.33","4,344,779",2.10,2.11,2.08,2018-04-22 10:00:00
85,ADSB,ADSB,2.07,-0.96%,"21,862.00","10,606",2.00,2.07,2.00,2018-04-22 09:22:07
86,1UAE,FAB,6.20,-0.96%,620.00,100,6.20,6.20,6.20,2017-04-18 06:57:19
87,QCEM,Umm Al Qaiwain Gener,1.00,-0.99%,"19,424.00","19,424",1.00,1.00,1.00,2018-04-01 09:01:52
88,DU,DU,4.88,-1.01%,"173,178.88","35,261",4.81,4.94,4.81,2018-04-22 09:31:37
89,CBD,CBD,3.76,-1.05%,"376,000.00","100,000",3.76,3.76,3.76,2018-04-18 09:41:21
90,ITHMR,Ithmaar Holding,0.37,-1.06%,"898,487.26","2,406,754",0.37,0.38,0.37,2018-04-22 09:57:24
91,FH,Finance House,1.70,-1.16%,"1,087,720.00","635,000",1.72,1.72,1.70,2018-03-15 09:31:38
92,ARMX,Aramex,4.00,-1.24%,"4,569,021.62","1,142,373",4.00,4.00,3.96,2018-04-22 09:57:45
93,GFH,GFH,1.28,-1.54%,"6,167,962.15","4,848,705",1.29,1.29,1.26,2018-04-22 09:55:00
94,ARKAN,Arkan,0.61,-1.61%,"384,939.00","640,715",0.61,0.61,0.60,2018-04-22 09:43:01
95,AMLAK,Amlak Finance,0.80,-1.71%,"416,440.88","514,102",0.81,0.81,0.80,2018-04-22 09:55:00
96,DSI,Drake & Scull,1.67,-1.76%,"777,087.00","462,100",1.69,1.70,1.67,2018-04-22 09:55:00
97,MANAZEL,Manazel,0.54,-1.82%,"1,428,199.65","2,615,363",0.54,0.55,0.54,2018-04-22 10:00:00
98,AGTHIA,Agthia,4.30,-1.83%,"865,127.60","199,332",4.35,4.35,4.30,2018-04-22 09:47:17
99,SUDATEL,Sudatel,0.51,-1.92%,"48,642.78","95,378",0.51,0.51,0.51,2018-04-22 09:42:40
100,ALRAMZ,Al Ramz Corporation,1.45,-2.03%,"27,156.25","19,375",1.35,1.45,1.35,2018-04-19 09:55:00
101,DANA,Dana Gas,0.94,-2.08%,"5,603,423.50","5,937,593",0.95,0.96,0.94,2018-04-22 10:00:00
102,WATANIA,Watania,0.46,-2.13%,"32,787.02","70,000",0.47,0.47,0.46,2018-04-15 07:58:55
103,SALAMA,Salama,0.41,-2.17%,"217,559.19","532,049",0.41,0.41,0.41,2018-04-22 09:37:14
104,OILC,Waha Capital,1.75,-2.23%,"268,740.67","152,074",1.78,1.78,1.75,2018-04-22 10:00:00
105,UAETF,Afkar Capital,4.05,-2.41%,"162,000.00","40,000",4.05,4.05,4.05,2017-11-05 06:48:41
106,SHUAA,Shuaa,0.98,-2.48%,"1,842,701.85","1,871,009",1.00,1.00,0.97,2018-04-22 09:55:00
107,AAAIC,Al Ain Al Ahlia Insu,38.00,-2.56%,"46,854.00","1,233",38.00,38.00,38.00,2018-03-01 09:37:03
108,SALAM_BAH,Al Salam Bank,1.12,-2.61%,"177,100.00","160,000",1.11,1.12,1.10,2018-04-22 09:55:00
109,UNB,UNB,3.68,-2.65%,"44,047.60","11,908",3.70,3.70,3.68,2018-04-19 10:00:00
110,ALMADINA,Al Madina,0.35,-2.78%,"350,251.09","990,208",0.36,0.36,0.35,2018-04-22 09:39:18
111,ALSALAMKW,Al Salam,0.52,-2.80%,"24,444.50","50,100",0.49,0.52,0.48,2018-04-18 09:39:01
112,NBADCN0316,FAB,95.00,-3.06%,"9,025.00",95,95.00,95.00,95.00,2016-03-06 08:55:28
113,ALFIRDOUS,Al Firdous,0.70,-3.85%,"33,350.00","50,530",0.66,0.70,0.66,2011-06-13 09:22:22
114,MARKA,Marka,0.32,-3.93%,"1,161,824.36","3,647,249",0.33,0.33,0.31,2018-04-22 09:55:00
115,INVESTB,Invest Bank,2.24,-4.27%,"379,884.80","165,000",2.25,2.34,2.24,2018-04-22 09:34:49
116,IH,Insurance House,0.85,-4.49%,"786,250.00","925,000",0.85,0.85,0.85,2018-03-14 08:42:16
117,TKFL,Takaful,5.00,-4.58%,"18,360.00","3,672",5.00,5.00,5.00,2018-04-17 06:37:48
118,EKTTITAB,Ekttitab,0.32,-5.54%,"242,176.71","746,591",0.32,0.33,0.32,2018-04-22 07:48:28
119,OIC,OIC,1.70,-5.56%,"276,583.20","162,696",1.70,1.70,1.70,2018-02-28 06:13:52
120,DRIVE,Emirates Driving,8.60,-6.52%,"172,000.00","20,000",8.60,8.60,8.60,2018-03-06 07:45:20
121,GGICO,GGICO,0.25,-6.69%,"1,055,166.13","4,161,283",0.26,0.26,0.24,2018-04-22 09:55:00
122,GCIC,AXA Green Cresent,0.80,-6.98%,"176,000.00","220,000",0.80,0.80,0.80,2018-04-22 10:00:00
123,CBI,CBI,0.60,-7.69%,330.00,550,0.60,0.60,0.60,2018-04-12 06:41:47
124,UAB,UAB,1.05,-8.70%,"9,786.00","9,320",1.05,1.05,1.05,2018-04-16 09:33:53
125,QTEL,Ooredoo,90.00,-9.09%,"93,330.00","1,037",90.00,90.00,90.00,2018-03-20 09:39:05
126,GLS,Al Khaleej Investmen,2.15,-9.28%,"64,500.00","30,000",2.15,2.15,2.15,2018-04-12 06:42:35
127,UNION,Union Insurance,1.26,-9.35%,"9,283.68","7,368",1.26,1.26,1.26,2018-04-22 09:04:56
128,SICO,Sharjah Insurance,3.49,-9.35%,"768,759.75","220,275",3.49,3.49,3.49,2017-09-28 07:29:03
129,IFA,IFA,0.31,-9.38%,"12,978.00","42,000",0.31,0.31,0.31,2018-04-08 09:24:55
130,ERC,ERC,2.97,-9.73%,"14,850.00","5,000",2.97,2.97,2.97,2018-03-25 09:55:00
131,AJMANBANK-RI,Ajman Bank,0.24,-9.85%,"16,014,645.07","66,737,006",0.25,0.26,0.24,2016-06-02 09:57:06
132,ASNIC,Al Sagr,2.19,-9.88%,"3,285.00","1,500",2.19,2.19,2.19,2018-03-07 06:16:37
133,SFWAMUBASHER,Al Safwa Mubasher,0.66,-9.88%,"8,146.80","12,400",0.66,0.66,0.66,2018-03-29 07:59:07
134,NIH,NIH,0.85,-9.97%,"51,597.98","60,775",0.85,0.85,0.85,2017-02-05 09:11:03
135,NCC,National Cement,3.06,-10.00%,"55,829.70","18,245",3.06,3.06,3.06,2018-04-11 07:35:40
136,ARIG,ARIG,1.35,-10.00%,"7,830.00","5,800",1.35,1.35,1.35,2018-01-03 07:19:48
137,RAPCO,Dwajen RAK,2.70,-10.00%,"121,500.00","45,000",2.70,2.70,2.70,2018-04-17 09:00:31
138,FOODCO,Foodco,4.77,-10.00%,"7,765.56","1,628",4.77,4.77,4.77,2018-03-22 06:38:08
