,Ticker,Name,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
105,AMAT,Al Madina Takaful,0.10,-1.03%,480.00,"5,000",0.10,0.10,0.10,2018-04-22 09:37:22
106,BKNZ,Bank Nizwa,0.09,-1.15%,"39,483.77","458,695",0.09,0.09,0.09,2018-04-22 10:29:36
107,MTMI,Muscat Thread Mills,0.08,-1.25%,"3,891.00","49,000",0.08,0.08,0.08,2018-04-19 07:58:23
108,OTEL,Omantel,0.85,-1.40%,"413,804.22","488,250",0.85,0.85,0.84,2018-04-22 10:25:37
109,MHAS,Al Maha Marketing,0.82,-1.41%,"25,884.06","30,815",0.84,0.84,0.82,2018-04-16 08:53:08
110,OFCI,Oman Fisheries,0.12,-1.68%,"1,175.00","10,000",0.12,0.12,0.12,2018-04-22 09:59:45
111,AJSS,Al Jazeira Services,0.17,-1.73%,"4,655.60","27,380",0.17,0.17,0.17,2018-04-19 08:29:13
112,AMII,Al Madina Investment,0.05,-1.82%,"10,940.93","204,000",0.06,0.06,0.05,2018-04-19 08:53:14
113,TFCI,Taageer Finance,0.11,-1.83%,535.00,"5,000",0.11,0.11,0.11,2018-04-22 09:37:03
114,MFCI,Muscat Finance,0.10,-1.92%,"1,525.00","15,000",0.10,0.10,0.10,2018-04-19 08:58:19
115,BKMU,Bank Muscat,1.00,-1.96%,"5,000.00","5,000",1.00,1.00,1.00,2013-05-29 08:57:55
116,BSCB,Bank Sohar,0.10,-1.96%,37.50,375,0.10,0.10,0.10,2017-03-05 08:25:48
117,SIHC,Al Sharqiya Investme,0.12,-2.38%,"9,117.65","74,018",0.12,0.12,0.12,2018-04-18 08:31:42
118,ORCI,Oman Refreshment,1.80,-2.70%,"19,688.40","10,938",1.80,1.80,1.80,2018-04-05 07:26:49
119,GISI,GIS,0.11,-2.73%,"337,214.63","3,141,170",0.11,0.11,0.11,2018-04-19 08:59:55
120,VOES,Voltamp,0.40,-2.91%,"12,640.00","31,600",0.40,0.40,0.40,2018-04-16 06:41:28
121,OEIO,Oman & Emirates Inve,0.12,-3.17%,"3,660.00","30,000",0.12,0.12,0.12,2018-04-19 08:59:16
122,OQIC,OQIC,0.13,-3.70%,"1,417.51","10,889",0.13,0.13,0.13,2018-04-19 08:40:04
123,BMCB-Mar14,Bank Muscat,0.10,-4.00%,"305,741.04","3,187,212",0.10,0.10,0.10,2015-06-11 08:25:21
124,CMII,CMI,0.03,-5.88%,"5,498.00","172,000",0.03,0.03,0.03,2018-04-16 08:59:49
125,ABHS,Al Buraimi Hotel,0.97,-8.18%,88.88,110,0.79,0.97,0.79,2007-10-02 00:00:00
126,SHRQ,Sharqiyah Desalinati,3.92,-8.86%,"2,616.61",661,4.00,4.00,3.92,2017-08-28 06:59:39
127,TAOI,Takaful Oman,0.14,-8.86%,830.30,"5,766",0.14,0.14,0.14,2018-04-11 08:56:15
128,OCHL,Oman Chlorine,0.40,-9.09%,"4,000.00","10,000",0.40,0.40,0.40,2018-04-17 07:47:27
129,SMNP,SMN Power,0.60,-9.09%,"15,495.00","25,825",0.60,0.60,0.60,2018-04-17 06:16:27
130,SPSI,Salalah Port Service,0.54,-10.00%,"1,620.00","3,000",0.54,0.54,0.54,2018-04-15 00:00:00
131,BMBC,Bank Muscat,0.10,-10.43%,"10,774.21","104,604",0.10,0.10,0.10,2016-03-14 08:53:04
132,AFAI,Al Fajar Al Alamia,0.50,-33.16%,"1,505,714.00","3,011,428",0.50,0.50,0.50,2018-02-07 08:11:06
